DT_ID,"DT_Tag"
1,"ax"
2,"candle"
3,"carriage"
4,"knife / dagger"
5,"loom"
6,"comb"
7,"bayonet"
8,"bell"
9,"mallet"
10,"hourglass"
11,"book"
12,"bow"
13,"musket"
14,"pitchfork"
15,"broom"
16,"abacus"
17,"brush"
18,"net / snare"
19,"cane"
20,"cannon"
21,"paper"
23,"cart"
615,"tool, unspecified"
25,"gallows / scaffold"
26,"globe"
27,"gun"
28,"map"
29,"lantern"
30,"arrow"
31,"key"
616,"telescope"
33,"lance"
34,"lifeboat"
35,"plow"
36,"pole"
37,"quill / inkwell"
38,"quiver"
39,"rowboat"
40,"ruler"
45,"scissors"
46,"scroll"
47,"scythe"
49,"shield"
50,"ship"
53,"sieve"
55,"spear"
56,"spinning wheel / distaff"
57,"staff / walking stick"
58,"stake"
59,"sword, unsheathed or on ground"
60,"target"
62,"torch"
731,"jewelry (not worn)"
65,"switch / whip"
651,"plant, unspecified"
67,"Alphabet A"
68,"Alphabet B"
69,"Alphabet C"
70,"Alphabet D"
71,"Alphabet E"
72,"Alphabet F"
73,"Alphabet G"
74,"Alphabet H"
75,"Alphabet I"
76,"Alphabet J"
77,"Alphabet K"
78,"Alphabet L"
79,"Alphabet M"
80,"Alphabet N"
81,"Alphabet O"
82,"Alphabet P"
83,"Alphabet Q"
84,"Alphabet R"
85,"Alphabet S"
86,"Alphabet T"
87,"Alphabet U"
88,"Alphabet V"
89,"Alphabet W"
90,"Alphabet X"
91,"Alphabet Y"
92,"Alphabet Z"
93,"cattle / oxen"
94,"butterfly"
95,"cat"
96,"chicken"
97,"deer"
98,"dog"
99,"dragon"
100,"duck"
101,"eagle"
102,"fish"
103,"bird, unspecified"
104,"goat"
105,"goose"
106,"horse"
107,"lion"
108,"owl"
109,"peacock"
110,"rabbit"
111,"rat"
112,"seahorse"
113,"sheep "
114,"snake"
115,"songbird"
116,"squid"
117,"swine"
118,"unicorn"
119,"weasel / ermine"
120,"whale"
121,"worm"
664,"cutlery"
737,"outdoor"
736,"indoor"
663,"shovel / pick"
662,"hoe / rake"
725,"regional dress - Middle Eastern"
134,"knee"
135,"plume"
136,"button"
139,"lace"
141,"coat"
142,"mask"
724,"chamber pot"
146,"drapery"
147,"dress"
148,"feather"
150,"headscarf"
726,"regional dress - Scottish"
152,"glove (in hand)"
660,"hat (not on head)"
156,"ribbon"
659,"instrument, other"
159,"sash "
161,"skirt"
162,"sleeve"
658,"drink / water"
164,"trim"
656,"vegetable"
655,"meat"
168,"wig"
169,"winding sheet / shroud"
170,"beauty mark"
171,"bag"
172,"fan"
173,"handkerchief"
174,"money bag"
619,"saw"
176,"circle"
177,"column"
179,"geometric"
618,"needle"
181,"barn"
182,"building, other"
183,"house"
186,"castle"
187,"prison"
617,"ladder"
189,"chevron"
190,"arabesque"
191,"church"
192,"railing"
193,"cityscape"
194,"amphitheater / coliseum"
195,"road"
198,"door / doorway"
199,"fireplace"
200,"fleur de lis"
201,"flooring"
204,"arch"
205,"fortification"
614,"arrow"
208,"gate"
209,"stairs"
210,"steeple"
211,"tent"
212,"tower"
213,"triangle"
214,"wall"
215,"windmill"
216,"window"
226,"face (only)"
225,"skull"
224,"horn"
223,"hand (only)"
222,"penis (exposed)"
221,"wing (not on bird)"
220,"breast (exposed)"
219,"bone"
218,"blood"
227,"woodwind instrument"
228,"stringed instrument"
229,"brass instrument"
230,"percussion instrument"
231,"musical notation (square)"
232,"musical notation (round)"
233,"crown"
234,"rosary"
235,"symbol"
236,"emblem"
237,"flag"
238,"heraldic shield or symbol"
239,"medal"
240,"orb"
630,"scepter"
243,"sign (trade)"
245,"heart"
246,"cross"
247,"memento mori"
248,"bed"
249,"chair"
250,"curtain"
251,"throne"
252,"table"
253,"plate / platter"
254,"bench"
255,"bier"
256,"pitcher / jug"
257,"birdcage"
258,"bottle"
259,"box"
260,"barrel"
262,"chest (treasure)"
263,"coffin"
264,"cup / glass"
603,"disaster"
602,"bag"
267,"ladle"
268,"mirror"
601,"money"
270,"basket"
271,"pot"
272,"bowl"
273,"vase"
274,"stool"
275,"execution"
276,"duel"
277,"funeral"
609,"fool"
279,"agricultural activity"
280,"wedding"
608,"god / goddess"
282,"dance"
