IDT_ID,IDT_IMP_ID,IDT_DT_ID
64500,1090,264
45790,4418,638
45792,4418,252
68057,3587,330
45788,4418,302
45781,4418,204
45787,4418,644
9220,4536,67
83927,2523,737
70465,670,325
45799,1961,634
45798,1961,320
45795,1961,182
70458,3449,737
9229,2479,170
9231,2479,634
61963,845,670
12804,3885,670
12809,3885,320
64493,1090,320
64497,1090,274
12806,3885,605
64495,1090,289
45805,223,634
45803,223,649
64498,1090,252
35252,1614,669
45807,223,343
35246,2511,55
64490,1090,216
13008,4785,602
70452,2000,325
64489,1090,201
70435,4322,737
64491,1090,624
45812,4892,660
45810,4892,216
9268,4721,674
64499,1090,736
35243,2511,670
64492,1090,670
13001,4785,301
12816,2378,673
61600,1760,325
55841,2871,340
55837,2871,604
55839,2871,326
55836,2871,102
55842,2871,632
55838,2871,737
68210,107,325
68218,107,268
68214,107,750
68209,107,638
20436,1720,320
70436,4322,309
61965,845,639
20435,1720,676
55851,5433,325
61964,845,320
68216,107,274
68215,107,214
68212,107,172
68207,107,736
68211,107,671
55848,5433,216
70427,2734,737
61614,944,737
68208,107,300
61962,845,607
70433,2734,172
55853,3761,669
55857,3761,634
70422,3860,325
68105,3180,282
55860,3254,669
64474,4923,737
64471,4923,670
64472,4923,320
64473,4923,635
70416,2636,320
83922,686,320
55899,648,606
64467,5143,172
70411,4012,325
9299,5065,674
9295,629,674
68219,107,45
70404,5253,737
9228,2479,673
12808,3885,309
45871,1633,737
64469,5143,325
64466,5143,670
45817,4325,182
70400,1384,325
45821,4325,737
70395,2821,634
45828,5202,326
45823,5202,674
36078,5474,669
64461,270,670
64462,270,320
45830,4066,674
45831,4066,660
36079,5474,152
45852,4752,172
68422,5492,649
45850,4752,220
45854,4752,325
45855,4752,737
45865,1867,737
64463,270,634
45860,1867,182
45861,1867,673
45867,1867,343
45864,1867,634
45858,4752,340
45874,473,737
45875,473,328
45879,3544,605
45877,3544,182
68425,5492,651
45886,3544,326
45887,3544,336
45889,5461,226
45891,5461,649
45890,5461,603
45897,5461,294
37413,4394,669
45901,822,634
45900,822,649
61960,841,325
64460,3409,737
45912,162,325
64456,3409,670
64457,3409,172
68423,5492,755
45907,162,671
45915,2005,328
45914,2005,737
45916,2005,237
61558,1342,46
13004,4785,320
13000,4785,671
13002,4785,302
13006,4785,698
13007,4785,229
55863,3254,325
12999,4785,209
64453,5093,634
68420,5492,320
45918,3951,671
64452,5093,320
68416,1972,65
68413,1972,25
64454,5093,737
63164,2888,313
63162,2888,673
63166,2888,638
45923,4860,671
63167,2888,325
45928,5120,671
63165,2888,320
45935,4568,325
63158,2888,201
63163,2888,302
45932,4568,671
40290,4068,350
63161,2888,741
82876,2333,59
63159,2888,214
63160,2888,216
63171,4708,214
63180,4708,307
45939,3983,320
45941,3983,325
68385,2300,325
45946,1627,172
63188,4708,736
63177,4708,747
67700,4276,187
63172,4708,216
63186,4708,250
63176,4708,673
45944,1627,605
45954,1627,343
45952,1627,737
45943,1627,186
45953,1627,334
63183,4708,325
63184,4708,248
63179,4708,660
63187,4708,252
45956,5075,670
67699,4276,183
78370,1138,325
9491,1226,172
63185,4708,249
63113,866,325
9490,1226,671
63111,866,674
78366,2228,670
63110,1712,634
9518,4877,605
9517,4877,670
45968,3771,325
45969,3771,737
78361,5422,190
63115,11038,172
78337,2322,635
63094,153,320
63093,153,673
63096,153,737
45963,3771,674
45972,3771,651
45960,3771,182
45970,3771,326
45971,3771,343
9584,2778,324
9583,2778,320
61555,1342,669
9581,2778,275
9580,2778,106
9585,2778,639
14894,2172,587
63095,153,634
47638,2432,251
47636,2432,634
47637,2432,250
47633,2432,670
47634,2432,318
47635,2432,320
78336,2322,320
81322,216,302
46750,5570,673
46748,5570,212
63086,2444,216
63084,2444,183
63091,2444,326
46749,5570,216
78326,102,57
46756,5729,634
46759,5729,343
46766,5582,634
46967,3896,249
78316,1242,325
46978,5254,237
46764,5582,660
63089,2444,634
46771,5998,634
46770,5998,674
63090,2444,737
63082,2444,739
46772,5998,325
11901,6221,320
81315,65,737
11899,6221,674
81317,65,634
46781,5846,737
63085,2444,212
63083,2444,198
63088,2444,320
63070,5014,651
46776,5846,220
46780,5846,325
46791,5996,634
63069,5014,737
46796,5996,651
46788,5996,624
36077,5474,201
46799,5928,670
46802,5928,291
63066,5014,172
63064,5014,220
63065,5014,673
46801,5928,636
46800,5928,320
78304,2224,325
46809,5504,201
78300,1196,320
46813,5504,325
12598,5529,300
61557,1342,634
12596,5529,650
12595,5529,226
63068,5014,325
63056,4521,674
12604,6215,670
18867,5861,320
18869,5861,667
18865,5861,169
47561,4215,634
63058,4521,660
47559,4215,318
14797,604,320
47564,4215,239
47563,4215,233
63060,4521,635
63057,4521,172
63059,4521,320
14798,604,634
63053,4521,216
67636,5470,634
63050,4521,204
63061,4521,325
30059,4659,676
55861,3254,172
30058,4659,670
63051,4521,201
47568,4449,634
63054,4521,220
47566,4449,671
63052,4521,214
68344,3100,736
37414,4394,320
68352,3100,198
47575,3252,634
63036,339,325
63037,339,737
47577,3252,249
47579,3252,633
47582,3475,106
47589,3475,639
68087,1840,216
47583,3475,607
35244,2511,320
47585,3475,649
47590,3475,737
63033,339,669
14841,790,228
14842,790,334
47591,3475,326
63034,339,172
63035,339,634
68372,97,624
14840,790,612
14839,790,190
14838,790,118
14837,790,107
14836,790,84
14835,790,69
47623,1314,252
47618,1314,313
68375,97,274
68295,2138,268
68366,97,736
63029,2193,320
47622,1314,325
47611,1314,201
35245,2511,634
47612,1314,225
47620,1314,320
47621,1314,638
47617,1314,302
14860,166,673
61956,841,670
68377,97,264
83921,686,737
14864,1765,673
68378,97,697
63030,2193,634
14869,3329,170
67592,4014,715
37428,1308,251
14868,3329,673
63031,2193,737
67591,4014,669
63023,770,172
63026,770,737
55328,6178,249
68084,1840,201
55327,6178,216
63025,770,325
63022,770,671
67566,2182,103
67579,2182,644
63018,5279,320
12622,5831,669
63017,5279,671
63020,5279,737
63019,5279,634
67573,2182,183
46822,5602,320
55847,5433,201
46823,5602,634
63007,3251,635
67574,2182,209
63008,3251,737
63006,3251,320
46827,5809,172
46834,5914,634
46832,5914,222
46831,5914,224
46833,5914,300
36062,3164,634
46837,5501,350
46836,5501,737
67562,5443,325
12657,6130,320
12658,6130,634
12660,6130,234
12656,6130,307
12659,6130,246
83925,686,602
62989,1752,638
45977,2908,634
62986,1752,624
45974,2908,671
20437,1720,324
67550,310,321
62991,1752,658
45983,5031,634
45984,5031,325
62988,1752,320
62982,1752,198
45980,5031,671
62996,1752,243
62994,1752,252
62997,1752,264
83923,686,634
62990,1752,325
45986,503,670
62987,1752,671
62980,1752,204
62984,1752,211
62979,1752,103
62995,1752,737
45990,2094,671
67546,310,201
45994,574,201
46002,574,248
46003,574,250
39008,652,671
62992,1752,655
62960,4089,674
62965,4089,343
62967,4089,651
67553,310,249
46007,3486,172
46012,3486,737
46013,3486,326
46005,3486,605
36063,3164,325
46018,4605,634
46015,4605,182
62966,4089,347
68340,2876,607
62964,4089,737
68571,11316,65
62953,1931,172
62956,1931,737
9600,1667,671
62957,1931,326
67531,4843,320
13019,4154,673
62958,1931,343
62955,1931,325
46026,2161,277
62954,1931,634
67521,4270,106
46030,2161,263
62937,4029,183
62940,4029,320
67513,4776,334
62934,4029,186
62941,4029,634
46021,3513,277
46041,121,737
46038,121,172
46039,121,634
46036,121,216
46044,121,340
62074,1769,671
62573,3525,325
46035,121,195
46027,2161,671
46023,3513,325
46050,1640,634
62568,3525,670
62572,3525,635
62571,3525,320
67475,2853,635
46046,1640,224
46048,1640,297
62542,2405,670
46055,319,325
62543,2405,676
62545,2405,634
46052,319,671
67473,2853,309
62557,4588,201
67470,2853,204
46063,2174,635
67478,2853,250
62562,4588,634
46059,2174,172
46065,2174,737
46064,2174,325
46057,2174,605
62560,4588,152
62561,4588,320
62522,1205,644
62556,1663,325
46078,5680,320
67471,2853,201
62553,1663,669
62554,1663,172
46075,6134,634
67474,2853,320
46072,6134,671
67480,5454,191
13047,5805,673
13053,5805,304
13052,5805,635
13054,5805,325
13051,5805,320
62578,745,220
62581,745,634
24354,4716,338
46087,6284,291
62579,745,670
46082,6284,201
46089,6284,252
46092,6284,2
46086,6284,658
46084,6284,320
46091,6284,345
9707,6225,671
67439,3117,172
62364,343,634
62445,94,671
9711,5821,671
62444,94,283
46112,6179,674
46115,6179,737
62450,94,340
62449,94,326
46111,6179,226
46110,6179,109
62441,94,98
46116,6179,340
46114,6179,325
62451,94,350
62448,94,659
46118,5519,673
46124,6037,198
62447,94,636
67434,2229,320
46125,6037,216
46126,6037,674
62443,94,110
9748,5523,172
62442,94,106
62446,94,320
9747,5523,674
62400,4267,98
62397,5440,737
46136,6029,737
46137,6029,330
46147,5964,628
46146,5964,638
62395,5440,654
62396,5440,283
46142,5964,607
61561,560,325
46148,5964,737
46143,5964,671
46145,5964,324
46140,5964,182
46155,5863,635
68173,2353,216
68174,2353,714
46154,5863,320
46156,5863,737
46153,5863,671
46133,6029,671
48379,5558,320
46134,6029,320
46152,5863,93
68172,2353,183
46168,5666,737
46165,5666,324
68171,2353,198
46162,5666,607
46164,5666,320
46170,5666,1
46161,5666,193
46160,5666,182
46167,5666,628
46175,5611,674
46173,5611,220
68813,1694,325
68168,2353,674
62365,3768,220
62368,3768,325
68814,1694,673
68809,2114,694
62366,3768,673
46184,5611,343
46172,5611,182
46182,5611,737
46183,5611,326
62362,343,673
68804,2114,277
62582,745,325
13065,5844,635
62347,2112,737
68788,3626,673
62343,2112,103
62344,2112,670
13064,5844,320
13057,5844,671
55856,3761,324
13060,5844,666
62346,2112,634
10022,5966,671
62345,2112,320
10026,5924,671
68199,3126,664
68205,3126,658
13077,5578,152
13080,5578,320
13076,5578,673
47494,5714,737
46201,6087,182
46206,6087,628
46203,6087,172
46211,5747,195
68181,3126,636
68200,3126,256
46216,5747,634
68191,3126,344
68186,3126,221
62616,2727,679
10058,5645,671
68785,3626,320
68179,3126,320
68203,3126,632
83924,686,670
68185,3126,650
18675,5759,674
68204,3126,289
68196,3126,216
68193,3126,199
18682,5985,673
68180,3126,322
68775,2245,248
10066,6218,674
68188,3126,330
10073,5506,674
68177,3126,736
68759,1013,264
10075,5506,634
68192,3126,182
68206,3126,655
68182,3126,717
39013,652,343
68194,3126,201
10078,5640,172
10077,5640,673
10080,5640,309
46229,6001,311
68746,1013,325
46230,6001,608
46225,6001,172
68178,3126,737
68187,3126,104
46234,6001,737
46235,6001,326
39252,1112,345
10101,6065,220
68735,4499,737
10102,6065,673
68184,3126,644
10106,6150,674
46242,6045,737
46239,6045,650
46240,6045,311
68183,3126,325
62781,4125,676
68162,1035,649
68164,1035,57
18690,5625,673
68733,4492,325
18697,6286,334
18694,6286,115
18700,6286,271
18699,6286,337
37426,1308,320
61556,1342,320
46246,6068,634
61957,841,309
46254,6238,309
68160,1035,320
68161,1035,634
68734,4492,670
62332,2310,671
46256,6238,635
68727,623,671
46257,6238,325
68159,1035,737
55335,6255,665
68728,623,59
55336,6255,670
62334,2310,634
10334,6248,172
62333,2310,320
68156,453,634
10333,6248,670
68157,453,670
68154,453,737
68722,4273,325
62304,2629,670
46270,5829,737
66455,4627,634
46263,5829,670
62303,2629,220
46262,5829,605
46273,5993,226
46272,5993,109
62307,2629,325
66449,3594,320
62306,2629,634
62299,1943,634
46277,5993,737
46278,5993,326
66445,2119,320
46285,5560,737
62297,1943,715
46284,5560,634
62298,1943,320
83926,686,57
62286,506,635
62284,506,669
46288,6266,671
66440,1906,320
46301,5792,737
46304,5792,295
46299,5581,325
62282,506,214
68308,3312,737
46296,5581,671
46305,5601,106
62283,506,216
62288,506,736
62287,506,325
62281,506,201
46313,5601,233
46312,5601,737
61959,841,635
66417,498,325
55855,3761,320
46308,5601,318
66407,542,737
62278,987,634
62279,987,737
62277,987,320
46317,6237,660
66397,2455,304
46316,6237,671
62276,987,671
68305,4500,636
62484,837,737
62480,837,670
46322,5548,671
55854,3761,676
66378,2957,737
46841,70,300
46840,70,222
46842,70,634
66373,2469,634
62482,837,634
62483,837,325
62481,837,666
46844,3439,671
62238,184,320
66368,3317,320
62239,184,634
17424,3182,634
62236,184,670
66357,4303,634
33588,708,670
33589,708,172
60049,2323,172
46855,640,639
46849,640,216
46856,640,737
46857,640,25
46853,640,320
46854,640,324
46865,3022,317
46861,3022,106
33590,708,666
33593,708,635
33594,708,325
46864,3022,674
46868,3022,639
46869,3022,737
46867,3022,324
46866,3022,320
46870,3022,350
66358,4303,737
12972,750,671
66355,4303,320
66356,4303,324
12725,5192,172
62468,4803,737
62466,4803,320
12724,5192,671
17433,4153,233
17435,4153,245
17428,4153,707
17429,4153,634
17430,4153,323
17426,4153,221
17434,4153,237
46876,2839,320
46877,2839,634
62467,4803,634
46873,2839,201
46882,2839,240
46878,2839,249
46879,2839,250
46874,2839,673
62465,4803,671
19574,4233,634
71373,3822,325
62233,410,635
19575,4233,325
46888,1071,326
46886,1071,628
46884,1071,193
46885,1071,223
62229,410,172
62232,410,320
46891,794,671
71370,4705,59
62231,410,309
12747,4238,634
62230,410,666
71366,1522,59
12748,4238,325
71353,4245,325
37427,1308,635
14462,1550,634
14463,1550,233
14461,1550,320
46900,2052,296
46903,2052,639
46898,2052,670
46897,2052,275
46902,2052,324
19578,1126,306
19577,1126,686
19576,1126,643
19579,1126,301
19580,1126,305
46909,4946,320
46908,4946,193
46910,4946,737
46912,4946,350
46911,4946,335
46913,4946,344
46920,645,737
46921,645,326
46916,645,686
46919,645,636
46918,645,305
62459,3407,669
62463,3407,737
62460,3407,172
62462,3407,325
62461,3407,634
46928,1607,737
71349,990,240
46927,1607,635
62206,936,634
62211,936,630
62209,936,233
62208,936,325
14514,2135,634
46933,1158,666
62205,936,669
71333,4948,635
46934,1158,309
62454,2514,670
62457,2514,737
62455,2514,320
46935,1158,320
62456,2514,634
62223,1927,670
60210,724,737
46937,1158,325
71329,4948,737
62226,1927,737
46931,1158,670
76947,10650,201
83920,1034,670
62196,2826,325
62195,2826,634
14535,817,320
71325,614,256
62191,1064,320
62192,1064,634
71322,614,2
46941,1750,320
62193,1064,46
71326,614,290
62189,4138,57
83917,2692,669
46940,1750,670
71321,614,258
71306,4061,660
46955,2909,274
46954,2909,325
46953,2909,636
46952,2909,320
46945,2909,97
46950,2909,283
46956,2909,737
83910,4963,737
62187,4138,320
46965,3896,658
62188,4138,635
46961,3896,201
46962,3896,670
71296,4518,634
60018,5363,302
40271,2953,320
46964,3896,636
46971,3896,21
60020,5363,320
60026,5363,254
60015,5363,201
39549,4883,737
60017,5363,670
71311,4061,248
14602,4255,634
60016,5363,216
60019,5363,319
71298,4518,671
60024,5363,678
14603,1417,671
46977,5254,246
46976,5254,328
46974,5254,107
46973,5254,595
46979,5254,238
46983,2510,208
46982,2510,204
46985,2510,607
46995,2510,233
60027,5363,274
83908,3012,220
60023,5363,289
68147,2691,649
68146,2691,634
46984,2510,214
46993,2510,737
46994,2510,330
68149,2691,57
71279,5058,320
46988,2510,320
46989,2510,324
68148,2691,11
47020,3739,737
71284,5058,350
68141,2058,326
68140,2058,606
68139,2058,669
47017,3739,671
47025,842,737
60048,2323,670
47028,842,237
47023,842,320
47022,842,186
47042,4601,324
47044,4601,325
47047,4601,651
47045,4601,737
68137,2058,320
68138,2058,634
71265,1841,320
71258,482,320
37425,1308,644
47046,4601,343
47043,4601,639
47048,4601,237
47030,4601,106
47041,4601,320
47051,5005,182
62159,2492,320
62158,2492,317
62160,2492,639
47055,5005,634
47052,5005,671
62164,2492,617
62155,2492,669
47061,2500,737
62156,2492,152
47057,2500,671
83899,2040,737
62162,2492,737
60051,2323,325
47064,1523,320
62157,2492,142
60004,882,637
60006,882,658
60013,882,253
47070,5375,737
47069,5375,325
60012,882,664
14717,2897,634
59999,882,204
38847,3458,674
14718,2897,325
46280,5560,106
47645,3779,737
60000,882,216
60011,882,264
60010,882,736
47643,3779,320
47644,3779,634
83900,2040,634
20122,4675,673
47677,1788,328
47678,1788,345
47679,1788,237
47676,1788,737
47675,1788,639
47674,1788,320
47684,2637,671
71257,482,737
47687,2637,289
47688,2637,678
60009,882,252
68123,5041,325
59982,2071,737
59981,2071,634
71253,4149,634
39156,4818,296
47685,2637,320
47686,2637,636
47700,2892,737
47699,2892,658
59978,2071,103
59979,2071,670
71247,1187,737
59980,2071,320
83884,5153,737
47696,2892,660
47695,2892,669
68074,1840,737
59971,3199,634
59973,3199,736
59970,3199,670
71239,3790,737
47776,2582,634
48001,2376,328
47997,2376,649
48002,2376,345
47998,2376,320
47996,2376,604
48004,2376,295
48000,2376,737
48007,2447,328
48006,2447,737
48008,2447,237
61598,1760,172
48009,2447,295
48065,5308,107
71245,3790,25
61601,1760,737
48068,5308,237
48067,5308,328
48066,5308,737
48069,5308,238
59968,1027,737
59965,1027,670
20243,4510,644
20247,771,632
48074,1153,222
48085,1153,329
48083,1153,611
48084,1153,659
48073,1153,103
48075,1153,282
48080,1153,639
48079,1153,321
48077,1153,300
48081,1153,325
48078,1153,320
59966,1027,320
71241,3790,320
62126,1537,631
20303,5268,676
20434,1720,670
20302,5268,670
20323,3546,634
36096,5191,634
62119,1537,190
62122,1537,320
62118,1537,226
20322,3546,320
71237,1930,106
20319,3546,177
48810,1203,107
48811,1203,737
48813,1203,237
48812,1203,328
20318,3546,204
61597,1760,669
48817,3095,604
48822,3095,345
48823,3095,237
61592,2833,670
48824,3095,295
62120,1537,612
48895,2266,671
48904,2266,689
48899,2266,737
76527,139,639
48901,2266,345
83879,5269,737
62123,1537,636
55990,3153,325
76529,139,669
20366,2060,671
20368,2060,320
20370,2060,233
20367,2060,318
20372,2060,630
55986,3153,670
71211,4693,305
68134,5041,195
68125,5041,172
68132,5041,198
68136,5041,740
68121,5041,320
71222,4693,214
48917,1833,671
10626,3435,318
71213,4693,324
71212,4693,320
10624,3435,671
68128,5041,336
48951,1260,737
48950,1260,638
48948,1260,604
48949,1260,320
48954,1260,237
48955,1260,295
48930,1992,107
49042,767,220
48934,1992,238
48933,1992,237
48932,1992,328
61595,2833,737
48931,1992,737
68130,5041,186
49047,767,737
68131,5041,739
68129,5041,343
71223,4693,57
49046,767,325
49048,767,326
62076,1769,634
71210,4693,737
10677,3426,660
55981,3388,320
55980,3388,671
10676,3426,671
10686,692,348
10684,692,324
10683,692,320
10688,692,233
10687,692,340
10685,692,637
10681,692,106
10682,692,676
71219,4693,326
55983,3388,737
49007,3819,325
55982,3388,634
53834,1422,671
49004,3819,182
