IGT_ID,IGT_IMP_ID,IGT_BGT_ID
7072,4418,9
7073,1961,5
1550,2479,5
2205,3885,5
7074,223,9
2206,109,5
7075,4892,5
1557,4721,5
2207,2378,5
8322,2871,9
3278,1720,5
8324,5433,5
8325,3761,5
8326,3254,5
8331,648,5
1563,5065,5
1562,629,5
1548,4536,10
7076,4325,5
7077,5202,5
7078,4066,5
7080,4752,5
7081,1867,5
7083,473,14
7084,3544,5
7085,5461,14
7086,822,5
7087,162,5
7088,2005,14
2235,4785,3
7089,3951,5
7090,4860,5
7091,5120,5
7092,4568,5
7093,3983,5
7094,1627,5
7095,5075,5
1589,1226,5
1593,4877,5
7096,3771,5
1602,2778,9
7304,2432,5
7196,5570,5
7198,5729,11
7199,5582,5
7200,5998,5
2020,6221,5
7201,5846,5
7203,5996,5
7204,5928,9
7205,5504,5
2170,5529,3
2171,6215,5
3048,5861,9
7296,4215,5
2513,604,5
4906,4659,5
7297,4449,5
7298,3252,9
7299,3475,9
2519,790,10
7302,1314,5
2521,166,5
2522,1765,5
2523,3329,5
8235,6178,6
2175,5831,5
7207,5602,5
7208,5809,5
8338,165,5
7209,5501,7
2183,6130,5
7097,2908,5
7098,5031,5
7099,503,5
7100,2094,5
7101,574,9
7102,3486,5
7103,4605,5
1605,1667,5
2237,4154,5
7105,2161,9
7104,3513,9
7106,121,5
7107,1640,5
7108,319,5
7109,2174,5
7112,5680,5
7111,6134,5
2241,5805,5
1620,6225,5
7113,6284,9
1621,5821,5
7115,6179,5
7116,5519,5
7117,6037,5
1627,5523,5
7119,6029,9
7121,5964,9
7123,5863,9
7125,5666,9
7126,5611,5
2242,5844,5
1705,5966,5
1706,5924,5
2244,5578,5
7130,6087,5
7131,5747,5
1711,5645,5
3020,5759,5
3022,5985,5
1713,6218,5
1715,5506,5
1716,5640,5
7132,6001,3
1718,6065,5
1719,6150,5
8332,2781,5
3024,5625,5
3025,6286,10
7133,6068,5
7134,6238,5
8236,6255,5
1752,6248,5
7135,5829,5
7136,5993,5
7137,5560,9
7138,6266,5
7140,5581,5
7142,5601,9
7143,6237,5
7144,5548,5
7459,1203,10
7210,3439,5
2860,3182,5
2189,5226,5
7211,640,9
7212,3022,9
2230,750,5
2194,5192,5
2862,4153,11
7213,2839,5
3149,4233,5
7214,1071,7
2198,4238,5
2464,1550,5
7216,2052,9
3150,1126,5
2484,1417,5
7217,645,9
7218,1607,5
2471,2135,5
7219,1158,5
2475,817,5
7220,1750,5
7221,2909,9
7222,3896,9
2483,4255,5
7223,5254,10
7225,2510,9
7227,3739,5
7229,4601,9
7230,5005,5
7231,2500,5
7232,1523,5
7233,5375,5
7305,3779,5
2527,2172,10
3232,4675,5
7309,1788,14
7310,2637,9
7311,2892,9
7320,2582,5
7358,5308,10
3250,4510,5
7360,1153,9
3258,5268,5
3262,3546,5
7460,1203,14
7471,2266,9
3270,2060,5
7473,1833,5
1797,3435,5
7475,1992,10
7490,767,5
1804,3426,5
1805,692,10
7484,3819,5
7491,5522,9
7238,6025,5
7240,5385,5
7241,4169,5
7243,5194,5
2213,5028,5
7146,5514,5
7147,5701,5
1766,5797,5
1767,5916,5
7148,6152,5
1772,5903,5
3029,5889,5
7149,5815,5
7150,6035,5
7151,6033,5
