IMP_ID,filename,genre_terms,num_genres,desc_tags,num_desc_tags
1,20148-40.jpg,[],0,[],0
2,20982-10.jpg,['portrait'],1,"['bird, unspecified', 'church', 'steeple', 'window', '1680-onward, late Stuart / Georgian', 'hat (not on head)', 'man', 'number of figures - 1', 'outdoor', 'bush / hedge', 'cloud', 'plant, unspecified', 'tree']",13
3,31714-10.jpg,[],0,"['1680-onward, late Stuart / Georgian', 'man', 'number of figures - 1']",3
4,30230-40.jpg,['portrait'],1,"['fan', 'number of figures - 1', 'outdoor', '1603-1625, Jacobean', 'woman', 'flower']",6
5,21213-10.jpg,[],0,[],0
6,20112-40.jpg,['portrait'],1,"['woman', 'number of figures - 1', '1200-1558, medieval / early Tudor']",3
7,21051-10.jpg,[],0,[],0
8,20663-20.jpg,['portrait'],1,"['woman', 'number of figures - 1', '1558-1603, Elizabethan']",3
9,30270-30.jpg,['portrait'],1,"['1603-1625, Jacobean', 'man', 'number of figures - 1', 'outdoor', 'cup / glass', 'pitcher / jug']",6
10,21321-10.jpg,[],0,[],0
11,21852-40.jpg,[],0,[],0
12,20721-10.jpg,['portrait'],1,"['bow', 'ax', 'arrow', 'outdoor', 'number of figures - 3', 'man', '1660-1680, Restoration']",7
13,20209-40.jpg,['portrait'],1,"['trade tools', 'scroll', 'box', 'number of figures - 1', 'man', '1603-1625, Jacobean']",6
14,20979-20.jpg,['portrait'],1,"['sword, unsheathed or on ground', 'man', 'outdoor', 'horse', 'number of figures - 1', 'cloud', '1680-onward, late Stuart / Georgian', 'plant, unspecified']",8
15,21288-30.jpg,[],0,[],0
16,21168-10.jpg,[],0,[],0
17,21758-30.jpg,[],0,[],0
18,32050-30.JPG,['portrait'],1,"['hill', 'forest', 'house', 'outdoor', 'road', 'woman', 'number of figures - 2', '1660-1680, Restoration', 'man', 'sun']",10
19,30445-40.jpg,['portrait'],1,"['1680-onward, late Stuart / Georgian', 'woman', 'fan', 'number of figures - 1']",4
20,21759-10.jpg,[],0,[],0
21,20024-10.jpg,['narrative'],1,"['1 period, classical', 'armor', 'procession', 'army', 'man', 'military figure', 'number of figures - 5 or more', 'bow', 'shield', 'spear', 'sword, unsheathed or on ground']",11
22,30349-20.jpg,['portrait'],1,"['man', 'number of figures - 1', '1603-1625, Jacobean', 'outdoor', 'glove (in hand)']",5
23,21367-10.jpg,[],0,[],0
24,21242-30.jpg,[],0,[],0
25,30176-40.jpg,['portrait'],1,"['breast (exposed)', 'woman', 'geometric', '1660-1680, Restoration', 'number of figures - 1', 'portrait frame']",6
26,20221-10.jpg,['portrait'],1,"['1200-1558, medieval / early Tudor', 'king', 'man', 'number of figures - 1', 'crown', 'scepter']",6
27,21690-10.jpg,[],0,[],0
28,21782-10.jpg,[],0,[],0
29,21397-60.jpg,[],0,[],0
30,21018-10.jpg,[],0,[],0
31,30053-10.jpg,['portrait'],1,"['sun', '1625-1660, Caroline / Interregnum', 'man', 'cloud', 'number of figures - 1', 'plant, unspecified', 'outdoor', 'switch / whip']",8
32,20704-20.jpg,[],0,[],0
33,21668-20.jpg,['portrait'],1,"['face (only)', '1660-1680, Restoration', 'man', 'number of figures - 1', 'fleur de lis']",5
34,21293-30.jpg,[],0,[],0
35,21217-30.jpg,[],0,[],0
36,20921-30.jpg,['narrative'],1,"['weapon, indeterminate', 'spear', 'staff / walking stick', 'number of figures - 4', 'military figure', 'man', '1625-1660, Caroline / Interregnum']",7
37,21739-30.jpg,[],0,[],0
38,22011-10.jpg,[],0,[],0
39,30344-10.jpg,['portrait'],1,"['number of figures - 1', 'man', '1625-1660, Caroline / Interregnum', 'outdoor', 'flower']",5
40,21382-30.jpg,[],0,[],0
41,22382-10.jpg,[],0,[],0
42,21686-10.jpg,[],0,[],0
43,30125-30.jpg,['portrait'],1,"['number of figures - 1', 'beauty mark', '1660-1680, Restoration', 'woman']",4
44,20953-20.jpg,['portrait'],1,"['bed', 'woman', 'number of figures - 1', '1625-1660, Caroline / Interregnum']",4
45,21845-10.jpg,[],0,[],0
46,21384-40.jpg,[],0,[],0
47,30428-10.jpg,['maritime'],1,"['cannon', 'ocean', 'flag', 'cross', 'figure, gender unspecified', 'outdoor', 'number of figures - 1', 'ship']",8
48,21867-20.jpg,[],0,[],0
49,21768-50.jpg,[],0,[],0
50,21330-30.jpg,[],0,[],0
51,30262-10.jpg,['portrait'],1,"['military figure', 'man', 'number of figures - 1', '1 period, classical', 'armor', 'shield', 'sword, unsheathed or on ground']",7
52,20241-80.jpg,"['narrative', 'emblem / symbol']",2,"['fabric', 'number of figures - 2', 'angel', 'nude', 'Alphabet G']",5
53,20997-20.jpg,[],0,[],0
54,20159-30.jpg,['portrait'],1,"['woman', 'number of figures - 1', 'fan', '1558-1603, Elizabethan']",4
55,20140-20.jpg,['portrait'],1,"['scepter', 'orb', 'crown', 'woman', 'queen', 'number of figures - 1', '1558-1603, Elizabethan']",7
56,30313-30.jpg,['portrait'],1,"['glove (in hand)', 'indoor', 'number of figures - 1', '1625-1660, Caroline / Interregnum', 'man', 'flooring']",6
57,21078-20.jpg,[],0,[],0
58,30292-40.jpg,['emblem / symbol'],1,"['Alphabet C', 'arabesque']",2
59,31875-10.jpg,['portrait'],1,"['number of figures - 1', 'man', '1625-1660, Caroline / Interregnum']",3
60,30303-30.jpg,['portrait'],1,"['man', 'number of figures - 1', '1625-1660, Caroline / Interregnum', 'outdoor', 'flower']",5
61,20146-10.jpg,['portrait'],1,"['woman', 'number of figures - 2', 'man', 'couple', 'handkerchief', 'fan', '1603-1625, Jacobean']",7
62,21060-20.jpg,[],0,[],0
63,20711-30.jpg,[],0,[],0
64,21666-30.jpg,['portrait'],1,"['flooring', 'religious observance / event', '1603-1625, Jacobean', 'man', 'number of figures - 1']",5
65,30227-10.jpg,['portrait'],1,"['outdoor', 'number of figures - 1', 'plant, unspecified', 'period unknown', 'hill', 'man', 'arch']",7
